label,label_name,path,landmarks
0,paper,dataset_reel\paper\04l5I8TqdzF9WDMJ.png,"[1.3508532  0.73732016 0.         1.21263449 1.03113113 1.29155581
 1.15887036 1.18405918 1.04043425 1.09533054 1.27123035 0.82090638
 1.095853   1.374287   0.63461427 0.94848611 1.07665726 0.82907177
 0.90026451 1.32520834 0.45985469 0.94462476 1.48002117 0.26619424
 1.00841935 1.57079633 0.12931124 0.84783927 0.90327269 0.88049963
 0.78524585 1.19079604 0.40873622 0.8505629  1.4020286  0.16622549
 0.94506672 1.52349329 0.0180274  0.79098844 0.74199891 1.02401084
 0.66766732 0.98149716 0.44893305 0.68451894 1.24661643 0.16546851
 0.76199433 1.40953727 0.         0.76990256 0.63008733 1.27397458
 0.56001127 0.76251029 0.73210872 0.49941408 0.98755597 0.36739762
 0.52567868 1.17166594 0.12087669]"
0,paper,dataset_reel\paper\0a3UtNzl5Ll3sq8K.png,"[1.00143048 0.05345618 0.         0.81092788 0.38640944 0.
 0.80173539 0.78088851 0.15533039 0.86931075 1.05559128 0.32344434
 0.94747621 1.26356172 0.44093851 0.83569077 0.9107994  0.57363753
 1.01998581 1.33283438 0.66637403 1.18831228 1.49836985 0.69721298
 1.33346244 1.57079633 0.72284402 0.77588404 0.88113967 0.84665404
 0.99390916 1.31008975 0.82415638 1.19775597 1.48332162 0.81690289
 1.3722018  1.56275833 0.8165376  0.71854412 0.8670145  1.14403342
 0.91009722 1.30446458 1.00194296 1.08671224 1.46709846 0.95655808
 1.23949143 1.5336209  0.93257241 0.67933496 0.89220798 1.47377932
 0.77713641 1.28883285 1.27034566 0.89957632 1.41889428 1.1811044
 1.01975772 1.46215167 1.12308992]"
0,paper,dataset_reel\paper\0cb6cVL8pkfi4wF6.png,"[1.45874236 0.81547587 1.22730316 1.2191666  0.75983398 1.5143075
 1.00430292 0.7115416  0.         0.845394   0.66556829 1.35674579
 0.72496728 0.68812871 1.10987312 0.77606601 0.82220514 1.14878386
 0.56949746 1.05267319 0.61552552 0.5577942  1.27927196 0.27857555
 0.61497719 1.41224942 0.06610423 0.85813598 1.01597264 0.85349035
 0.71993113 1.26512265 0.44212162 0.73375018 1.45203714 0.17574528
 0.804722   1.55235981 0.         0.9918309  1.1695297  0.7256499
 0.8905301  1.36528134 0.42716595 0.88877097 1.50240972 0.23313041
 0.92879709 1.57079633 0.08959688 1.13443629 1.27888202 0.67664008
 1.06323925 1.43134797 0.48913475 1.03992369 1.48072345 0.36864622
 1.0405957  1.48387619 0.26676143]"
0,paper,dataset_reel\paper\0eqArS2GgsBeqgSn.png,"[1.59499889 0.89315186 0.63550357 1.45531398 1.06490365 0.88580803
 1.28173486 1.13973794 1.03281988 1.051717   1.13683007 1.11971513
 0.87311064 1.15919909 1.22599181 0.94640502 1.16737428 0.92486581
 0.54864068 1.31097063 1.04091524 0.34163233 1.46170905 1.21279208
 0.20429194 1.57079633 1.53585342 0.89108963 1.04772391 0.70370766
 0.48451095 1.068985   0.74537853 0.25234732 0.99758679 0.89014922
 0.1068551  0.6038737  0.         0.91862277 0.96490328 0.49936421
 0.56853025 0.90815373 0.42892105 0.36497985 0.76935505 0.33650436
 0.25434742 0.48223926 0.         0.98283371 0.9255862  0.34836619
 0.71304335 0.88078118 0.25092281 0.57546561 0.78427504 0.17015601
 0.50018878 0.6339227  0.05913772]"
0,paper,dataset_reel\paper\0Og76sl5CJhbxWWx.png,"[1.04094148 0.28139567 0.         0.97122126 0.81172581 1.49357321
 1.07962379 1.08506635 1.35276771 1.14620881 1.20795528 1.20321697
 1.15568839 1.30530667 1.07507505 0.92084602 1.05182779 1.0204897
 1.05642009 1.35496851 0.87316098 1.1767725  1.49876169 0.80442872
 1.28266114 1.57079633 0.75243071 0.80198911 0.85339121 0.76169606
 0.90804753 1.21918132 0.61453517 1.02553043 1.40917405 0.54192311
 1.13644535 1.50953227 0.49157477 0.75099232 0.66409728 0.42076266
 0.80983826 1.03821229 0.34514697 0.89792735 1.25463609 0.32611876
 0.99453634 1.37328951 0.31507298 0.7446883  0.53781347 0.
 0.72777786 0.883061   0.04880917 0.7699286  1.06656873 0.07899224
 0.83557916 1.16436037 0.10828146]"
0,paper,dataset_reel\paper\0RA9rcrv8iVvuDDU.png,"[1.49758404 0.83962481 1.11300194 1.04821452 1.01296654 1.30592913
 0.74255901 1.09856649 1.36439046 0.50897582 1.2308742  1.38583943
 0.35895391 1.54760139 0.         0.96154697 0.74333629 0.79951529
 0.7604333  0.93519549 0.43143675 0.67025744 1.28618137 0.19855453
 0.69151492 1.57079633 0.04069135 1.04474544 0.85926201 0.66581928
 0.91315664 0.98140549 0.3538261  0.81873229 1.25563184 0.14934972
 0.82036082 1.49781891 0.         1.11125417 0.99997096 0.6187141
 0.98960045 1.14002306 0.36708336 0.93109456 1.34500183 0.20304273
 0.93465237 1.50453787 0.07610747 1.17329704 1.15293317 0.61475302
 1.08621171 1.28919626 0.44074827 1.05599501 1.34679629 0.32784034
 1.04787302 1.37356805 0.23212086]"
0,paper,dataset_reel\paper\0Uomd0HvOB33m47I.png,"[1.70494598 0.94402992 0.80983553 1.40776892 1.03380663 0.59757973
 1.15050968 1.00014516 0.44818204 0.9483829  0.89789305 0.37438033
 0.82407992 0.81998762 0.21040653 0.88781029 0.98659534 0.61854594
 0.48768308 1.0713276  0.50318597 0.28105096 1.17547925 0.33527189
 0.14710112 1.29826769 0.         0.9158908  0.98541254 0.84412228
 0.46776754 1.07387251 0.85382228 0.22124283 1.23895163 0.92957619
 0.06416755 1.57079633 1.35885321 0.99188981 1.01828262 1.01017461
 0.58910735 1.09086326 1.12069234 0.35469372 1.2505798  1.27388924
 0.21036346 1.44356174 0.         1.10450194 1.06819366 1.11536887
 0.80264984 1.15033573 1.22467246 0.64277666 1.17074596 1.31901524
 0.53048358 1.11673138 1.42644797]"
0,paper,dataset_reel\paper\0vugygEjxQJPr9yz.png,"[1.00019016 0.01950008 0.         0.8525084  0.51063951 1.54842184
 0.94459868 0.86157133 1.34357487 1.05233337 1.01634961 1.17716333
 1.17653061 1.1415808  1.11029533 0.84226966 1.0228688  1.01621186
 1.05239334 1.37511964 0.91041763 1.21390975 1.48030394 0.87065476
 1.34167932 1.52185425 0.84237785 0.75878163 0.91036657 0.7448394
 0.98076836 1.36937705 0.73975192 1.17642121 1.51603753 0.72790557
 1.33202757 1.57079633 0.72162201 0.71343651 0.79912321 0.40697513
 0.88396664 1.2623981  0.54376344 1.05246693 1.47139486 0.58379015
 1.20412854 1.55926935 0.60715269 0.70799329 0.72341895 0.
 0.76180318 1.12023555 0.255171   0.85883014 1.31135723 0.35155752
 0.97178929 1.39430227 0.41859048]"
0,paper,dataset_reel\paper\0zKU6wEhT2cDe9j0.png,"[1.00107738 0.0463986  1.40390449 0.74272618 0.66803726 0.
 0.86940367 1.04208651 1.36526572 1.01856709 1.14587262 1.19264303
 1.1785639  1.22496741 1.12411732 0.79401775 1.19618522 0.98564259
 1.05107148 1.48203784 0.89739922 1.22003964 1.54433658 0.86253935
 1.34606782 1.56874628 0.83644803 0.74650558 0.97383131 0.70600214
 0.98360455 1.3759638  0.71960337 1.16962152 1.51203468 0.71369794
 1.31794202 1.57079633 0.70939097 0.76403507 0.76531228 0.38085522
 0.91450591 1.19033096 0.52523706 1.0517454  1.43864982 0.57043616
 1.19467056 1.56511924 0.59670434 0.83238365 0.61701356 0.
 0.82652372 0.98929374 0.2218752  0.87865599 1.21906769 0.31833934
 0.97338937 1.33848389 0.39054473]"
0,paper,dataset_reel\paper\14K62H4KG1hg5qiJ.png,"[1.12563167 0.47696993 0.         0.8135718  0.41996689 1.18094976
 0.67916295 0.56857256 0.54316621 0.65384362 0.85586048 0.22708023
 0.63843436 1.12412802 0.         0.90850156 0.82614461 0.71507997
 0.94870678 1.14898355 0.55178882 1.01624427 1.35757732 0.49554229
 1.099623   1.48226243 0.46496698 0.94666569 0.92369068 0.87426171
 1.04544619 1.18933315 0.7050212  1.13834917 1.3569019  0.64325684
 1.22796285 1.46760341 0.61163174 0.96355065 1.02380139 1.01926124
 1.0623688  1.3008098  0.87147139 1.16384512 1.47143613 0.80603298
 1.25821724 1.57079633 0.76370918 0.9774255  1.12784948 1.15369527
 1.07348788 1.35289631 1.04764734 1.15598558 1.42950429 0.9991752
 1.22439068 1.4714657  0.96277265]"
